id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
406,1,0,1,0,0,Administración,Decisión y apoyo,12.2,2,> 1 año,6,5,0.5,1,20 a 24,5 a 9,0
407,0,0,4,0,6.5,Administración,Decisión y apoyo,6.6,1,1 a 3,3,3,0.5,0,20 a 24,1 a 4,0
408,1,0,0,0,0,Administración,Decisión y apoyo,5.7,0,0,2,1,0.4,1,10 a 14,1 a 4,0
409,1,0,3,0,8.7,Administración,Decisión y apoyo,13.5,1,1 a 3,5,3,0.4,1,5 a 9,0,492
410,1,0,4,0,0,Administración,Decisión y apoyo,13.7,1,7 a 12,10,10,0.7,0,15 a 19,0,0
411,1,0,2,0,5.8,Administración,Decisión y apoyo,6.1,0,0,2,2,0.3,0,5 a 9,0,0
412,0,0,1,0,0.9,Administración,Decisión y apoyo,13.8,0,0,9,7,0.7,0,15 a 19,1 a 4,485
413,0,0,3,0,0,Administración,Decisión y apoyo,17.2,2,7 a 12,6,6,0.3,1,15 a 19,1 a 4,0
414,1,0,2,0,1.5,Administración,Decisión y apoyo,11.1,2,> 1 año,4,4,0.4,0,25 o más,10 a 14,0
415,0,0,0,0,0,Administración,Decisión y apoyo,7,1,7 a 12,5,4,0.7,1,20 a 24,5 a 9,965
416,1,0,3,0,9.7,Administración,Decisión y apoyo,22.1,2,> 1 año,10,7,0.5,1,20 a 24,0,625
417,0,0,2,0,5.8,Administración,Decisión y apoyo,6.8,3,> 1 año,5,3,0.7,1,5 a 9,0,0
418,0,0,1,0,2.9,Administración,Decisión y apoyo,9.3,1,1 a 3,2,2,0.2,1,25 o más,5 a 9,0
419,0,0,0,0,0,Administración,Decisión y apoyo,3.6,2,> 1 año,4,3,1.1,1,5 a 9,0,0
420,1,0,5,0,9.7,Administración,Decisión y apoyo,13.7,1,> 1 año,21,15,1.5,1,15 a 19,10 a 14,396
421,0,0,1,0,0,Administración,Decisión y apoyo,5.8,0,0,3,2,0.5,0,10 a 14,1 a 4,0
422,0,0,3,0,8.8,Administración,Decisión y apoyo,27.1,1,4 a 6,10,9,0.4,1,20 a 24,1 a 4,817
423,1,0,0,0,0,Administración,Decisión y apoyo,5.4,0,0,3,3,0.6,0,5 a 9,1 a 4,0
424,0,0,1,0,4.9,Administración,Decisión y apoyo,28,0,0,5,3,0.2,1,0,0,0
425,0,0,4,0,8.4,Administración,Decisión y apoyo,6.2,0,0,3,2,0.5,0,5 a 9,1 a 4,0
